Country,Date,Case_Type,Cases,Daily_Cases
Seychelles,2020-04-01,Deaths,0,0
Sierra Leone,2020-04-01,Deaths,0,0
Singapore,2020-04-01,Deaths,3,0
Slovakia,2020-04-01,Deaths,1,1
Slovenia,2020-04-01,Deaths,15,0
Somalia,2020-04-01,Deaths,0,0
South Africa,2020-04-01,Deaths,5,0
South Korea,2020-04-01,Deaths,165,3
Spain,2020-04-01,Deaths,9387,923
Sri Lanka,2020-04-01,Deaths,3,1
Sudan,2020-04-01,Deaths,2,0
Suriname,2020-04-01,Deaths,0,0
Sweden,2020-04-01,Deaths,239,59
Switzerland,2020-04-01,Deaths,488,55
Syria,2020-04-01,Deaths,2,0
Taiwan,2020-04-01,Deaths,5,0
Tanzania,2020-04-01,Deaths,1,0
Thailand,2020-04-01,Deaths,12,2
Timor-Leste,2020-04-01,Deaths,0,0
Togo,2020-04-01,Deaths,2,1
Trinidad and Tobago,2020-04-01,Deaths,5,2
Tunisia,2020-04-01,Deaths,12,2
Turkey,2020-04-01,Deaths,277,63
Uganda,2020-04-01,Deaths,0,0
Ukraine,2020-04-01,Deaths,20,3
United Arab Emirates,2020-04-01,Deaths,8,2
United Kingdom,2020-04-01,Deaths,2357,564
United States of America,2020-04-01,Deaths,4757,884
Uruguay,2020-04-01,Deaths,2,1
Uzbekistan,2020-04-01,Deaths,2,0
Venezuela,2020-04-01,Deaths,3,0
Vietnam,2020-04-01,Deaths,0,0
West Bank and Gaza,2020-04-01,Deaths,1,0
Zambia,2020-04-01,Deaths,0,0
Zimbabwe,2020-04-01,Deaths,1,0
World,2020-04-01,Deaths,46809,4702
